Nome,Coco Bambu,Outback Steakhouse,Carneiro do Ordones,Cervejaria Turatti,Santa Grelha Iguatemi,Restaurante Brazão,Chico do Caranguejo,Cantinho do Frango,Mangue Azul,Misaki
Coco Bambu,0.0,3.52471669924209,7.0107854922048825,1.0179321755932544,3.52471669924209,2.6743640687236074,5.784551374979012,2.813323748723107,1.345970636302902,0.8915675765989888
Outback Steakhouse,3.52471669924209,0.0,7.1181246106039895,2.5295261651554934,0.0,4.603990964451843,4.843575798902251,3.362697486455107,2.275531174777792,2.6519687335489883
Carneiro do Ordones,7.0107854922048825,7.1181246106039895,0.0,6.679097185984086,7.1181246106039895,4.536085238555652,11.783109987548329,4.341356824504015,6.442165879934785,6.713430417566437
Cervejaria Turatti,1.0179321755932544,2.5295261651554934,6.679097185984086,0.0,2.5295261651554934,2.771956319104679,5.465784188272878,2.3403249170937213,0.3585330798465972,0.12636669182162033
Santa Grelha Iguatemi,3.52471669924209,0.0,7.1181246106039895,2.5295261651554934,0.0,4.603990964451843,4.843575798902251,3.362697486455107,2.275531174777792,2.6519687335489883
Restaurante Brazão,2.6743640687236074,4.603990964451843,4.536085238555652,2.771956319104679,4.603990964451843,0.0,8.235415693198771,1.519400682662947,2.7234605738532123,2.7402047923263844
Chico do Caranguejo,5.784551374979012,4.843575798902251,11.783109987548329,5.465784188272878,4.843575798902251,8.235415693198771,0.0,7.578146229489738,5.565463265105457,5.49546024442091
Cantinho do Frango,2.813323748723107,3.362697486455107,4.341356824504015,2.3403249170937213,3.362697486455107,1.519400682662947,7.578146229489738,0.0,2.1036331940206217,2.381199831064843
Mangue Azul,1.345970636302902,2.275531174777792,6.442165879934785,0.3585330798465972,2.275531174777792,2.7234605738532123,5.565463265105457,2.1036331940206217,0.0,0.47439074360049893
Misaki,0.8915675765989888,2.6519687335489883,6.713430417566437,0.12636669182162033,2.6519687335489883,2.7402047923263844,5.49546024442091,2.381199831064843,0.47439074360049893,0.0
