Nome,Diretório Estadual do Partido Novo Ceará,Avante,Partido Verde - Ceará,MDB,Partido Democrático Trabalhista | PDT Ceará,Partido dos Trabalhadores Diretório Estadual do Ceará,Republicanos Ceará,Partido Liberal - Comitê de Caucaia,PSDB Partido da Social Democracia Brasileira,União Brasil Fortaleza
Diretório Estadual do Partido Novo Ceará,0.0,0.8772560431298242,1.2443228062994256,1.175806263206467,1.1267958756268555,4.1044847352704625,6.296090212766479,17.76334405059476,0.934777068610946,7.093427348914432
Avante,0.8772560431298242,0.0,1.8916376745899561,0.8332939550440002,1.532781075293408,4.9813817336473685,7.141493707862073,18.639325491494176,0.4822167981422428,7.970498578032391
Partido Verde - Ceará,1.2443228062994256,1.8916376745899561,0.0,2.4114736229913443,2.1966687155223634,3.5726604055482825,5.373909183458161,17.13461587257585,1.6152117610484735,6.479951762105437
MDB,1.175806263206467,0.8332939550440002,2.4114736229913443,0.0,1.046030663269114,4.9830737863938745,7.350678386587426,18.567695758884618,1.308912552272751,7.951518091518264
Partido Democrático Trabalhista | PDT Ceará,1.1267958756268555,1.532781075293408,2.1966687155223634,1.046030663269114,0.0,4.046981753062615,6.539165875703649,17.55997509699001,1.8677904286941203,6.981078248946078
Partido dos Trabalhadores Diretório Estadual do Ceará,4.1044847352704625,4.9813817336473685,3.5726604055482825,4.9830737863938745,4.046981753062615,0.0,2.724748408293937,13.660359109871127,4.943855042046657,2.989406663147147
Republicanos Ceará,6.296090212766479,7.141493707862073,5.373909183458161,7.350678386587426,6.539165875703649,2.724748408293937,0.0,12.023655478299116,6.965324540869512,2.212578282712699
Partido Liberal - Comitê de Caucaia,17.76334405059476,18.639325491494176,17.13461587257585,18.567695758884618,17.55997509699001,13.660359109871127,12.023655478299116,0.0,18.597563873569907,10.676527834700233
PSDB Partido da Social Democracia Brasileira,0.934777068610946,0.4822167981422428,1.6152117610484735,1.308912552272751,1.8677904286941203,4.943855042046657,6.965324540869512,18.597563873569907,0.0,7.921047874521189
União Brasil Fortaleza,7.093427348914432,7.970498578032391,6.479951762105437,7.951518091518264,6.981078248946078,2.989406663147147,2.212578282712699,10.676527834700233,7.921047874521189,0.0
