Nome,Endereço
Coco Bambu,"Avenida Beira Mar, 3698 - Meireles"
Outback Steakhouse,Shopping Iguatemi Fortaleza
Carneiro do Ordones,"Rua Azevedo Bolão, 571"
Cervejaria Turatti,"Rua Frederico Borges, 368"
Santa Grelha Iguatemi,Shopping Iguatemi Fortaleza
Restaurante Brazão,"Rua João Cordeiro, 43"
Chico do Caranguejo,"Av. Zezé Diogo, 4930"
Cantinho do Frango,"Rua Torres Câmara, 71 - Aldeota"
Mangue Azul,"R. Prof. Dias da Rocha, 987"
Misaki,"Rua Ana Bilhar, 1111 - Meireles"
